,,0
Precision,Mean,53.1340165395893
Precision,stdev,8.243533853553238
Recall,Mean,53.42857142857143
Recall,stdev,6.188288176613572
F1-Score,Mean,52.008247502753925
F1-Score,stdev,6.426739195581786
