,,0
Precision,Mean,94.30890259430424
Precision,stdev,0.7820574291736648
Recall,Mean,87.06809880040103
Recall,stdev,4.94995006123302
F1-Score,Mean,90.13424995166133
F1-Score,stdev,3.1150216568685463
